sentiment,review_body,product_category
-1,The beadwork is gorgeous  but the sleeves are so puffy  it looks as though you're wearing shoulder pads. the fabric of the shirt isn't that fabulous either.,Blouses
-1,I had to return this blouse because it ended up been too small and super itchy. im kind of busty but medium usually works and this one was super tight across my chest. not comfortable at all and the fabric is kind of a sheer with the sparkly lines in silver. wouldn't recommend it.,Blouses
-1,Loved how this top looked online and couldn't wait to get it. i ordered the xs and it was huge and also very short in length compared to the picture online. i love the fabric and design but the fit was totally off. this is going back!,Blouses
-1,I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen  in person it looks cheap and tacky. moreover  the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.  overpriced  to boot.  obviously  mine is a minority opinion.,Blouses
-1,This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,Blouses
-1,I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.  it is cute though!,Blouses
-1,This top is too boxy and has too much going on. it should have no buttons or different ones.,Blouses
-1,Sometimes i order things online that i can hardly wait to arrive  and then once they do  i wonder if i made a mistake when ordering it. this is one of those times  and it was not my mistake. the shirt i received is not like this one. it is an xs  but it is quite large falling inches below where this one hits on the model. everyone i have shown the shirt to says that it is a denim blue color  not grey at all. it is a pretty color  but not what i thought i was ordering. i hate it when this happens,Blouses
-1,I love maeve but this shirt's quality was poor and it was not worth the price. i would not recommend buying this online. you really need to try the blouse on in the store to make the decision as to if its worth purchasing or not...... and in my case this is being sent back.,Blouses
0,This blouse is a beautiful color and i love the dot design and texture. however  it is a much baggier fit than i expected based on the photo  and it looks a little bit like a maternity shirt on me. i usually wear a size 8 or 10 and i bought a size medium.,Blouses
0,For starters  the back pictured on the website is not true to the actual back of the shirt. the small traps are not there and it isn't gathered in the exact same way. the big bow is adjustable and overall i really loved the fit of the top  but the difference in design is not something i would expect from retailer. my shirt also got a hole in it along the seam in the back after washing once. although i liked the look of the top  the quality is not what i'm used to from retailer.,Blouses
0,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,Blouses
0,Beautiful but big. i exchanged my 0 for a 00  and  oddly enough  there was no difference! had a similar experience with another 00 blouse. am i crazy  or is the 00 size just a sham?,Blouses
0,I tried this on in the store and decided to order a larger size online. the fabric by the buttons is very thin so any pulling will cause tears the one i tried on in store was shredded by someone else trying it. i'm a 34 dd and bought a 14. before trying it on i noticed the fabric is already pulling a little right out of the package. trying to decide if it is worth keeping or will be destroyed from wearing.   it really is very cute on.,Blouses
0,"This tunic is simple and well made. it was not as long as on the model as on me but i am 5'-9"".",Blouses
0,I love maeve tops. i love the material and feel of this brand. when i saw the new tops that came out i ran to my local store to try one on. i'm usually a large in a top  once in a while an xl. they only had a large to try so i tried it in the black motif. i could barely get the top on. it looked like i was missing 1/2 of the top. i doubled checked the size and it was a large. it's a shame  the top is really cute. if you are the least bit broad or busty  go up a size or two. if you are usually a,Blouses
0,This blouse is so cute...casual but still stylish. the problem was that is is a little short for someone with a long torso and it is almost too revealing...the v is so plunging you would have to either pin it our wear a cami. the beads on the ties on the sleeves are also rather heavy and they swing and roll around on your arm...maybe wouldn't bother some but it was a return for me.,Blouses
0,I am totally on the fence with this shirt. like the other reviewers  i sized up because my normal 14 was too tight in the chest (a common problem for me). the arms are strangely tight and i didn't get much more room in the bust with the 16. but then the bottom of the shirt tents away and hangs funny. this is obviously meant for those with a very small bust who are on the slender side. i love the pattern and material though  so i'm going to visit my trusty seamstress and see if she can place dart,Blouses
1,"Saw this in the store and had to have it after i tried it on. it's shape is unique  it's very ""floaty"" and looks awesome with skinny cropped jeans & chunky sandals.   the ""empire"" does hit across the breast line  not below. i thought it added to the different shape  & didn't look odd on me. i am 5'6"" so it might overwhelm a petite frame.",Blouses
1,This shirt is so great. it's beautiful and functional. i received countless compliments the first time i wore it. i'm looking forward to wearing it again! worth the steep price  though it was hard to justify.,Blouses
1,This top is absolutely adorable  fits small on top and then flares out a bit as shown. i bought it months ago and haven't worn it yet though. might try it with white jeans as shown.,Blouses
1,A gorgeous and vibrant print! love the ruffles on the bottom and the detailing of the straps in the back. perfect for a beach day!,Blouses
1,While overall it's a pretty top  there were a few surprises. the biggest one not listed is that the bottom has a thin elastic band! without it  the top would be wide  longer and flow. in the picture to get it to the length shown  the elastic is pulled up toward the waist. which could work for some  as you can adjust the length into a tucked in look. it could be cut off  and sewn  making a normal flowy top. i am a normal size 6 and the shoulders are off  and the sleeve length is long with elastic,Blouses
1,I coveted this blouse for weeks and finally pressed go during the recent sale. it is truly lovely - the textured silk and its lining combine to give this blouse the weight it needs to flow perfectly when untucked. it is a-shaped and fuller at the hem. when tucked  it is neat as a pin. the colors are almost metallic and it looks as if the flowers have been painted on. this is an elegant casual look with white jeans and heels  or i've dressed it up with a black pencil as well as a skirt almost ide,Blouses
1,"I loved this top; it reminded me of one i have from retailer from circa 2008 in black and white; however  on this one  the chest area is too big  in both the 14 and 16  and i even found myself tugging downward on the fabric to keep it in place because the waist is elastic and also too big. i probably need a size 12  but then i fear it would be too short-waisted on me  for i am 5'10"". unfortunately  it is not for me. also  the sleeves are much bigger and flouncier than they appear in the photo on t",Blouses
1,This is very comfortable  and pretty top. i love the pleated peplum and the flutter sleeves. the v-neck is the right height  and the embroidered polka-dots are very sweet. i got many complements wearing this perfect for summer top!,Blouses
1,This is a beautiful and fashionable blouse. it feels good on as it is made of viscose  it is pretty and feminine. color is great  of course it needs to be your color. i love it and recommend it!!,Blouses
-1,Quality was not what you expect from retailer  especially for the price. top is lined but skirt is not. material is tissue paper thin and see thru. there is a point at the bottom of the sweetheart neckline that does not lay flat  it keeps popping up. however the back is very cute and for that i wanted to love it but too many negatives. was returned.,Dresses
-1,I loved the look of this dress online  so i was excited to order it  but when it arrived i found it was not at all how i expected it to be. i thought the material would be more lacy  but it seemed pretty cheap. there was also some boning at the waist which is nice in theory  but it made the material poof out just under the waist  making me look like i had a belly. no matter what i did i could not get it to lay flat. returned to the store and bought the embroidered perennial dress instead  which,Dresses
-1,I wanted a comfortable and loose casual dress. i liked the pictures and decided to give it a try.  the dress turned out to be too loose (i got size 4 after checking the measurements chart  i'm 5'7' 125 lb and usually wear s). i could practically wrap myself in this dress. besides  it looks a bit too long (well  i'm not as tall as the model in the photos and i don't like wearing high heels).  the material looks faded  not as bright as in the pictures. i like distressed and vintage style  but this,Dresses
-1,"Oh  i wanted this dress to work! i bought it in green  red and the solid blue. all ran really small. i *just* fit in a 10  when i would normally take a 6 in retailer sizes (5'8"" and 140 lbs). as with many other reviewers  i also noticed that the zipper was a huge flaw. it took a long  slow motion to get it zipped because it would get stuck on the fabric variations. such a cute style  was really bummed it didn't work. i kept ordering it in other colors thinking i would hit the jackpot  but they wer",Dresses
-1,In a sea of dresses  this is the one that caught my eye in the whole store. i am a pear shape  and ended up trying both the medium and the large  taking the medium home. it was super flattering on  and was an appropriate length to pair with tights.  here's where the problem happened. i wanted to wear this dress for thanksgiving  i put it on  and as i tightened the drawstring to cinch in the waist - riiiiiiiiiip! the drawstring ripped through the fabric at the waistband. so disappointed.,Dresses
-1,The colors are vivid and perfectly autumnal but the fit is a mess. it was overall too large  the waistline curves up in the front and then falls into small pleats which was maternityish  the waistband was thicker than the dress and sat away from my body and the material was a cheapish poly. had the outer dress been made from the same material as the lining  i would have liked it better. the modesty closure was a plus but the dress was already unraveling when i took it out. #returned,Dresses
-1,I saw this dress in the store and loved everything about it. they had an extra large  i usually wear a large  and i thought it would perfect with some leggings. i tried to get the dress over my chest but no chance. my sister who wears a medium tried to put it in too and she couldn't fit it past her chest either. we flipped it inside out and couldn't find a zipper. maybe the dress in the store was mislabeled but the bust ran very small. it's too bad  it looked adorable and i was so excited to try,Dresses
-1,This dress was a disappointment. not black  but brown. and it was very oddly made  with a weird  seam right across the belly. on its way back...,Dresses
-1,"I'm 5'-4""  130lbs with a 32f chest. this dress looked like a cross between little house on the prairie and a mu mu. i can't imagine this looking good on anyone who isn't 7' tall. also  the straight across  rather high neck line wasn't flattering to a large chest and then the arm holes are huge. the fabric was a bit shiny and felt cheap. it wasn't see through but it had the feel of a nightgown  not a hundred dollar dress.",Dresses
0,I got this dress in the mail  and while i loved the concept of it  it really is too boxy. the tie is very superficial and does not really nip you in at the waist  it is more so for show. it is fully lined which was interesting  and to me  made the dress seem boxier. the quality is good  but i am an hourglass and this was completely unflattering. i would have had to size up to make it look like the model shot  but it would have still been a shapeless dress  just bigger. it does fit true to size ,Dresses
0,When you buy a dress full price and it goes on sale before you can even wear it ($168 down to $49) uuuuggghhh... i like the dress fine enough  but it has a weird under wire  it makes my chest look strange  like i don't fill it in. i usually don't have that problem as a c cup. more orange/red then yellow as well. wouldn't recommend.,Dresses
0,I was so ready to love this dress but it runs extremely small - like you should maybe purchase a size 2 sizes bigger than what you normally wear.,Dresses
0,I wanted to wear this for my journey to cuncun and i wanted the blight pink as photo however it was a dark pink which didn't fit to me unfortunately... but the design was pretty!,Dresses
0,This is a very light  flowy dress. the lining is very fitted  but the dress is actually not fitted. it has a nice flow  but hits right at the thigh area before flowing out. plan to wear it to work.the color is very bright and pretty.,Dresses
0,Very pretty dress. the color is much brighter in person - a little too bubblegum pink for me. i love the way the bodice fit but there was just too much material in the skirt which made me look hippier than i am. would have preferred the skirt to have more of an a-line cut,Dresses
0,The dress is precious and looks good on all body types. however  the bust is extremely tight. i had to go up a dress size just to fit in the chest area.,Dresses
0,"This is one of those dresses that is just ""nice"" and can be one that you go to in a pinch.... it flows very nicely and you can dress it up and down. it's not the best quality in fabric...but if it was all silk you would have paid 3xs. i like it  it fits well...it's not outstanding or unusual. i think it is a bit pricey for what you get...but  it's a ""work horse"" dress...it will do you right whenever you need it to!",Dresses
0,Comfortable and soft material  cute design and nice longer length..however  i'm long waisted and this looked ridiculous on my me  elastic came up right under my bra and not at my waist. would be cute for someone shorter.,Dresses
1,One of the best maxi dresses i have ever found! i needed a dress that could accommodate a large bust (36g) and camouflage my postpartum belly. the dress did it all. i ordered the large (5'7 and 155 lbs) and it is so flattering. it has just the right amount of coverage up top to prevent looking too busty. and the band around the midsection makes me look much slimmer. like i said  best maxi dress ever. price is pretty high  but it was worth it!,Dresses
1,This dress is beautiful. i love the collar and tie neck detail. i decided to order up a size and am very glad i did (i normally wear a 0 or 2 petite and ordered this in a 4 petite). it fits perfect with a little room...not snug at all  which i like. the description says its a slimmer fit so i'm happy i ordered the size i did. i'm excited to wear it and add it to my wardrobe.,Dresses
1,This dress is adorable. dress it up or dress it down,Dresses
1,I bought this dress for work and receive tons of compliments when i wear it! the material is soft and breathable  which makes it comfortable to wear all day at work with a light jacket. i do agree with the other reviewer though  it does show every bump  especially in the tummy. i also noticed that some of the fabric flaps will flip up when i sit down  but i am going to sew the flap down so it stops doing that.,Dresses
1,I love this dress  although the darting is terrible. the colors are much richer in person  it's a beautiful dress for events and has a nice weight so it doesn't feel too flimsy (since it is not lined). i really love the length of the sleeves and the swish of the skirt. however  the darting makes your bust have two little triangles- i really wish i could reseam the darting as it's a bit strange looking.,Dresses
1,Comfortable material  fits true to size  love the color and can wear all year round. selected this dress for a fall wedding and its a keeper!,Dresses
1,This dress is made with stretchy cottony fabric  yet  very forgiving. it fits like a glove but doesn't show bulges. fit is perfect  i had originally purchased the white and grey  but the petite length is better. too bad as i do love me some red. oh well.,Dresses
1,This is an adorable dress that just didn't work for me! so sad! i wanted to love it because the pattern is super cute. i gave it 4 stars because it is very pretty and i can see it working on others!,Dresses
1,Dress is wonderfully made. the fabric is soft and the print is beautiful.wonderful detail especially the ties.  nice lining...not see thru at all.  mid calf length looks good with heels or flats.  lovely dress for a sunny day or an evening out!!,Dresses
-1,"This is a very pretty sweater  a bit boxy and short but cute. i am 5'1"" and ordered the regular xs in black. the thing i did not like about this sweater was the gold thread through the back lace. i would have kept this if it was plain black lace. just did not like that look.",Fine gauge
-1,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,Fine gauge
-1,I ordered the in the emerald green and it was sent to me with a dime size hole in the sleeve. i am very disappointed  because i love the sweater. by the time it arrived  it was sold out in my size. now  i cannot exchange it for one that is not damaged. if the sweater was not damaged  i would recommend this product.,Fine gauge
-1,I wanted to love this sweater. the lavender color and design with the pleated back was beautiful. however when i put it on  it added at least 20 pounds to my frame. unfortunately it's going back since the cut just doesn't work on my frame.,Fine gauge
-1,Online  this looks like a great sweater. i ordered an xxsp and found that this sweater is much wider in the middle than pictured. in fact  i'm pretty sure they pinned the shirt in the back for the picture to make it appear slimmer. unfortunately  this sweater will not work for me  as i am an hourglass shape and this shirt makes me look 20 pounds heavier.,Fine gauge
-1,Had to return this for a couple of reasons: 1) was too small! it's made like one of those tiny mittens that stretches to fit any size hand. i didn't bother to order a size up because i wasn't sure whether to go from a small to a medium or to a large. 2) the main color isn't grey  like the picture. it's a black and white checkered pattern. so  it doesn't look at all grey irl.    i'm still recommending because  if you get the right size  and like the colors  it will be a nice  light and comfy swea,Fine gauge
-1,I was very disappointed when it arrived and had elbow length sleeves. from the photo  it looked like full length sleeves. it went back.,Fine gauge
-1,A beautiful shawl but not practical. i was impressed with how elegant/romantic it first felt/looked.  however  after 5 minutes of wear  it would not stay on my shoulders. the design is very awkward and despite several attempts with different tops/tanks underneath  i kept running into the same problem. lovely for the first 5 minutes of wear and then awkwardly/annoyingly wouldn't stay on my shoulders. the neckline is undefined and it just fell off. not a great design. disappointedly returned it.,Fine gauge
-1,I thought it would be heavier than it is. it's thin and more delicate than what i would expect for a winter sweater (it contains wool so not really suitable for spring/summer). it's also shorter than it appears on the model and a little wider/boxier too.,Fine gauge
0,I typically wear a size xl in retailer clothes. i'm a size 16 in tops and this sweater in xl fit really baggy with no form fitting. it's super soft and i love the color  but it was just unflattering on me.,Fine gauge
0,This a heavy cotton which is great for fall. design is cute and pockets are interesting. the fit is boxy and can look bulky. i only recommend if it's on sale.,Fine gauge
